"","Date","JWL.BO.Close"
"2021-04-01",2021-04-01,15.1499996185303
"2021-04-05",2021-04-05,15
"2021-04-06",2021-04-06,15.75
"2021-04-07",2021-04-07,15.5500001907349
"2021-04-08",2021-04-08,16
"2021-04-09",2021-04-09,16.7999992370605
"2021-04-12",2021-04-12,17.1000003814697
"2021-04-13",2021-04-13,17.3999996185303
"2021-04-15",2021-04-15,17.5
"2021-04-16",2021-04-16,16.9500007629395
"2021-04-19",2021-04-19,16.75
"2021-04-20",2021-04-20,16.75
"2021-04-22",2021-04-22,17.1499996185303
"2021-04-23",2021-04-23,16.8999996185303
"2021-04-26",2021-04-26,16.8500003814697
"2021-04-27",2021-04-27,17.3500003814697
"2021-04-28",2021-04-28,17.1000003814697
"2021-04-29",2021-04-29,16.7000007629395
"2021-04-30",2021-04-30,16.6000003814697
"2021-05-03",2021-05-03,16.7999992370605
"2021-05-04",2021-05-04,16.5499992370605
"2021-05-05",2021-05-05,16.6499996185303
"2021-05-06",2021-05-06,16.5499992370605
"2021-05-07",2021-05-07,17.0499992370605
"2021-05-10",2021-05-10,16.8999996185303
"2021-05-11",2021-05-11,16.6000003814697
"2021-05-12",2021-05-12,17.3500003814697
"2021-05-14",2021-05-14,18.2000007629395
"2021-05-17",2021-05-17,19.1000003814697
"2021-05-18",2021-05-18,20.0499992370605
"2021-05-19",2021-05-19,21.0499992370605
"2021-05-20",2021-05-20,22.1000003814697
"2021-05-21",2021-05-21,21.9500007629395
"2021-05-24",2021-05-24,20.8999996185303
"2021-05-25",2021-05-25,19.8999996185303
"2021-05-26",2021-05-26,20.8500003814697
"2021-05-27",2021-05-27,20.9500007629395
"2021-05-28",2021-05-28,19.9500007629395
"2021-05-31",2021-05-31,20
"2021-06-01",2021-06-01,19.5499992370605
"2021-06-02",2021-06-02,20.5
"2021-06-03",2021-06-03,19.8500003814697
"2021-06-04",2021-06-04,19.9500007629395
"2021-06-07",2021-06-07,20.4500007629395
"2021-06-08",2021-06-08,21.1499996185303
"2021-06-09",2021-06-09,21.5
"2021-06-10",2021-06-10,22.5499992370605
"2021-06-11",2021-06-11,23.6499996185303
"2021-06-14",2021-06-14,24.7999992370605
"2021-06-15",2021-06-15,26
"2021-06-16",2021-06-16,27.2999992370605
"2021-06-17",2021-06-17,28.6499996185303
"2021-06-18",2021-06-18,30.0499992370605
"2021-06-21",2021-06-21,31.5499992370605
"2021-06-22",2021-06-22,33.0999984741211
"2021-06-23",2021-06-23,34.6500015258789
"2021-06-24",2021-06-24,32.9500007629395
"2021-06-25",2021-06-25,31.3500003814697
"2021-06-28",2021-06-28,32.9000015258789
"2021-06-29",2021-06-29,34.25
"2021-06-30",2021-06-30,32.5499992370605
"2021-07-01",2021-07-01,34.1500015258789
"2021-07-02",2021-07-02,35.8499984741211
"2021-07-05",2021-07-05,37.5999984741211
"2021-07-06",2021-07-06,39.4500007629395
"2021-07-07",2021-07-07,38.4000015258789
"2021-07-08",2021-07-08,38
"2021-07-09",2021-07-09,39.3499984741211
"2021-07-12",2021-07-12,41.2999992370605
"2021-07-13",2021-07-13,40.9000015258789
"2021-07-14",2021-07-14,38.9500007629395
"2021-07-15",2021-07-15,37.0499992370605
"2021-07-16",2021-07-16,37.8499984741211
"2021-07-19",2021-07-19,37.0499992370605
"2021-07-20",2021-07-20,35.4500007629395
"2021-07-22",2021-07-22,34
"2021-07-23",2021-07-23,32.9500007629395
"2021-07-26",2021-07-26,34.5499992370605
"2021-07-27",2021-07-27,35.1500015258789
"2021-07-28",2021-07-28,36.2999992370605
"2021-07-29",2021-07-29,36.2000007629395
"2021-07-30",2021-07-30,37.0499992370605
"2021-08-02",2021-08-02,37.9500007629395
"2021-08-03",2021-08-03,37
"2021-08-04",2021-08-04,36.4000015258789
"2021-08-05",2021-08-05,35.5
"2021-08-06",2021-08-06,34.9000015258789
"2021-08-09",2021-08-09,34.5499992370605
"2021-08-10",2021-08-10,33.5999984741211
"2021-08-11",2021-08-11,34.5499992370605
"2021-08-12",2021-08-12,36.25
"2021-08-13",2021-08-13,36.5499992370605
"2021-08-16",2021-08-16,34.75
"2021-08-17",2021-08-17,33.0499992370605
"2021-08-18",2021-08-18,31.5
"2021-08-20",2021-08-20,30.6499996185303
"2021-08-23",2021-08-23,30.1499996185303
"2021-08-24",2021-08-24,31.6499996185303
"2021-08-25",2021-08-25,31.5
"2021-08-26",2021-08-26,31.6000003814697
"2021-08-27",2021-08-27,31.1000003814697
"2021-08-30",2021-08-30,31.1000003814697
"2021-08-31",2021-08-31,31
"2021-09-01",2021-09-01,30.7999992370605
"2021-09-02",2021-09-02,30
"2021-09-03",2021-09-03,30.5
"2021-09-06",2021-09-06,32
"2021-09-07",2021-09-07,33.5999984741211
"2021-09-08",2021-09-08,35.25
"2021-09-09",2021-09-09,36.1500015258789
"2021-09-13",2021-09-13,34.5
"2021-09-14",2021-09-14,34.4000015258789
"2021-09-15",2021-09-15,35.1500015258789
"2021-09-16",2021-09-16,33.7000007629395
"2021-09-17",2021-09-17,33.2000007629395
"2021-09-20",2021-09-20,33.4500007629395
"2021-09-21",2021-09-21,32.7000007629395
"2021-09-22",2021-09-22,34.2999992370605
"2021-09-23",2021-09-23,34.0499992370605
"2021-09-24",2021-09-24,34.6500015258789
"2021-09-27",2021-09-27,33.6500015258789
"2021-09-28",2021-09-28,32.3499984741211
"2021-09-29",2021-09-29,32.5
"2021-09-30",2021-09-30,32.6500015258789
"2021-10-01",2021-10-01,33.0999984741211
"2021-10-04",2021-10-04,34.75
"2021-10-05",2021-10-05,35.25
"2021-10-06",2021-10-06,34.75
"2021-10-07",2021-10-07,35.3499984741211
"2021-10-08",2021-10-08,35.4000015258789
"2021-10-11",2021-10-11,34.9000015258789
"2021-10-12",2021-10-12,35.1500015258789
"2021-10-13",2021-10-13,34.3499984741211
"2021-10-14",2021-10-14,33.75
"2021-10-18",2021-10-18,34.25
"2021-10-19",2021-10-19,32.7999992370605
"2021-10-20",2021-10-20,31.7000007629395
"2021-10-21",2021-10-21,31.4500007629395
"2021-10-22",2021-10-22,31.3999996185303
"2021-10-25",2021-10-25,31.0499992370605
"2021-10-26",2021-10-26,31.75
"2021-10-27",2021-10-27,33.2999992370605
"2021-10-28",2021-10-28,33.1500015258789
"2021-10-29",2021-10-29,32.9000015258789
"2021-11-01",2021-11-01,32.5
"2021-11-02",2021-11-02,33.7999992370605
"2021-11-03",2021-11-03,33.4500007629395
"2021-11-04",2021-11-04,34.4500007629395
"2021-11-08",2021-11-08,34.4000015258789
"2021-11-09",2021-11-09,34.3499984741211
"2021-11-10",2021-11-10,35.5499992370605
"2021-11-11",2021-11-11,37.2999992370605
"2021-11-12",2021-11-12,36.7999992370605
"2021-11-15",2021-11-15,35
"2021-11-16",2021-11-16,33.75
"2021-11-17",2021-11-17,32.8499984741211
"2021-11-18",2021-11-18,32.6500015258789
"2021-11-22",2021-11-22,31.8500003814697
"2021-11-23",2021-11-23,33.4000015258789
"2021-11-24",2021-11-24,33.5499992370605
"2021-11-25",2021-11-25,33.8499984741211
"2021-11-26",2021-11-26,33.2000007629395
"2021-11-29",2021-11-29,32.4000015258789
"2021-11-30",2021-11-30,31.7999992370605
"2021-12-01",2021-12-01,32.0499992370605
"2021-12-02",2021-12-02,33.6500015258789
"2021-12-03",2021-12-03,35.2999992370605
"2021-12-06",2021-12-06,35.4500007629395
"2021-12-07",2021-12-07,38.7999992370605
"2021-12-08",2021-12-08,40.3499984741211
"2021-12-09",2021-12-09,44.2999992370605
"2021-12-10",2021-12-10,46.6500015258789
"2021-12-13",2021-12-13,44.3499984741211
"2021-12-14",2021-12-14,42.5
"2021-12-15",2021-12-15,44.25
"2021-12-16",2021-12-16,43.1500015258789
"2021-12-17",2021-12-17,41.3499984741211
"2021-12-20",2021-12-20,39.5999984741211
"2021-12-21",2021-12-21,41.25
"2021-12-22",2021-12-22,41.8499984741211
"2021-12-23",2021-12-23,43.25
"2021-12-24",2021-12-24,43.0999984741211
"2021-12-27",2021-12-27,42.4000015258789
"2021-12-28",2021-12-28,44.4000015258789
